69,AA-114,Eupatorium rugosum
70,AA-114,Fraxinus americana
71,AA-114,Fragaria virginiana
72,AA-114,Hepatica acutiloba
73,AA-114,Lonicera maackii
74,AA-114,Oxalis stricta
75,AA-114,Parthenocissus quinquefolia
76,AA-114,Rhamnus cathartica
77,AA-114,Sanguinaria canadensis
2802,AA-114,Lonicera maackii
2803,AA-114,Rhamnus cathartica
2804,AA-114,Rosa multiflora
3731,AA-114,Acer nigrum
3732,AA-114,Acer nigrum
3733,AA-114,Ostrya virginiana
3734,AA-114,Quercus rubra
3735,AA-114,Quercus rubra
3736,AA-114,Quercus rubra
3737,AA-114,Quercus rubra
3738,AA-114,Quercus rubra
3739,AA-114,Tilia americana
78,AA-116,Acer nigrum
79,AA-116,Fraxinus americana
80,AA-116,Podophyllum peltatum
81,AA-116,Vitis riparia
2805,AA-116,Acer nigrum
2806,AA-116,Prunus serotina
3740,AA-116,Acer nigrum
3741,AA-116,Acer nigrum
3742,AA-116,Acer nigrum
3743,AA-116,Acer nigrum
3744,AA-116,Acer nigrum
3745,AA-116,Acer nigrum
3746,AA-116,Ostrya virginiana
3747,AA-116,Quercus alba
3748,AA-116,Quercus rubra
82,AA-117,Acer nigrum
83,AA-117,Fraxinus americana
84,AA-117,Geranium maculatum
85,AA-117,Sanguinaria canadensis
86,AA-117,Smilacina racemosa
2807,AA-117,Acer nigrum
2808,AA-117,Ostrya virginiana
3749,AA-117,Fraxinus americana
3750,AA-117,Fraxinus americana
3751,AA-117,Ostrya virginiana
3752,AA-117,Ostrya virginiana
3753,AA-117,Ostrya virginiana
3754,AA-117,Ostrya virginiana
3755,AA-117,Ostrya virginiana
3756,AA-117,Ulmus americana
87,AA-118,Acer nigrum
88,AA-118,Smilacina racemosa
2809,AA-118,Acer nigrum
2810,AA-118,Tilia americana
3757,AA-118,Acer nigrum
3758,AA-118,Acer nigrum
3759,AA-118,Ostrya virginiana
3760,AA-118,Ostrya virginiana
3761,AA-118,Ostrya virginiana
3762,AA-118,Ostrya virginiana
3763,AA-118,Ostrya virginiana
3764,AA-118,Quercus alba
3765,AA-118,Tilia americana
3766,AA-118,Tilia americana
3767,AA-118,Tilia americana
3768,AA-118,Ulmus americana
3769,AA-118,Ulmus rubra
3770,AA-118,Ulmus rubra
89,AA-125,Asarum canadense
90,AA-125,Parthenocissus quinquefolia
2811,AA-125,NONE
3771,AA-125,Acer saccharinum
3772,AA-125,Acer saccharinum
3773,AA-125,Acer saccharinum
3774,AA-125,Acer saccharinum
3775,AA-125,Quercus macrocarpa
3776,AA-125,Tilia americana
3777,AA-125,Tilia americana
3778,AA-125,Tilia americana
3779,AA-125,Tilia americana
3780,AA-125,Ulmus americana
3781,AA-125,Ulmus rubra
3782,AA-125,Ulmus rubra
3783,AA-125,Ulmus rubra
3784,AA-125,Ulmus rubra
91,AA-129,Alliaria petiolata
92,AA-129,Circaea lutetiana canadensis
93,AA-129,Impatiens pallida
94,AA-129,Parthenocissus quinquefolia
2812,AA-129,Acer nigrum
3785,AA-129,Acer nigrum
3786,AA-129,Celtis occidentalis
3787,AA-129,Fraxinus pennsylvanica subintegerrima
3788,AA-129,Fraxinus pennsylvanica subintegerrima
3789,AA-129,Ostrya virginiana
3790,AA-129,Ostrya virginiana
3791,AA-129,Prunus serotina
3792,AA-129,Tilia americana
3793,AA-129,Tilia americana
3794,AA-129,Tilia americana
3795,AA-129,Tilia americana
3796,AA-129,Tilia americana
3797,AA-129,Ulmus americana
3798,AA-129,Ulmus americana
3799,AA-129,Ulmus americana
3800,AA-129,Ulmus americana
2748,AA-141,Coronilla varia 
2749,AA-141,Vitis riparia
3628,AA-141,NONE
8341,AA-141,NONE
108,AA-79,Alliaria petiolata
109,AA-79,Arisaema triphyllum
110,AA-79,Circaea lutetiana canadensis
111,AA-79,Lonicera tatarica
112,AA-79,Rhus radicans
2814,AA-79,Populus alba
3807,AA-79,Acer nigrum
3808,AA-79,Acer nigrum
3809,AA-79,Acer nigrum
3810,AA-79,Acer nigrum
3811,AA-79,Acer nigrum
3812,AA-79,Populus alba 
3813,AA-79,Populus alba 
3814,AA-79,Quercus rubra 
117,AA-95,Arisaema triphyllum 
118,AA-95,Circaea lutetiana canadensis 
119,AA-95,Geranium maculatum 
120,AA-95,Hystrix patula 
121,AA-95,Parthenocissus quinquefolia 
122,AA-95,Smilacina racemosa 
123,AA-95,Ulmus americana 
2816,AA-95,Prunus virginiana 
2817,AA-95,Ulmus americana 
3821,AA-95,Ostrya virginiana
3822,AA-95,Quercus alba 
3823,AA-95,Quercus alba 
3824,AA-95,Quercus alba 
3825,AA-95,Quercus alba 
3826,AA-95,Quercus alba 
3827,AA-95,Quercus alba 
3828,AA-95,Tilia americana 
3829,AA-95,Tilia americana 
3830,AA-95,Tilia americana 
3831,AA-95,Ulmus rubra 
125,AX-131,Carex vulpinoidea
126,AX-131,Phalaris arundinacea
127,AX-131,Poa pratensis
2820,AX-131,NONE
3844,AX-131,NONE
128,AX-132,Cirsium arvense
129,AX-132,Coronilla varia 
2821,AX-132,NONE
3845,AX-132,NONE
161,AY-117,Parthenocissus quinquefolia
162,AY-117,Salix interior
163,AY-117,Typha angustifolia
2825,AY-117,Salix interior
3858,AY-117,NONE
130,AY-122,Aster species
131,AY-122,Coronilla varia 
132,AY-122,Crataegus species
133,AY-122,Dactylis glomerata 
134,AY-122,Daucus carota 
135,AY-122,Erigeron annuus
136,AY-122,Monarda fistulosa
137,AY-122,Oxalis stricta
138,AY-122,Plantago lanceolata 
139,AY-122,Poa pratensis 
140,AY-122,Prunus serotina
2822,AY-122,NONE
3846,AY-122,NONE
141,AY-124,Agrimonia species
142,AY-124,Aster species
143,AY-124,Festuca elatior 
144,AY-124,Melilotus officinalis 
145,AY-124,Parthenocissus quinquefolia
146,AY-124,Plantago lanceolata 
147,AY-124,Poa pratensis 
