Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
0,No suitable matches found.,,0,,,,,, ,
Acalypha rhomboidea,Acalypha rhomboidea,,1,Synonym,Acalypha virginica var. rhomboidea,(Raf.) Cooperr.,Euphorbiaceae,tpl, ,
Acer negundo,Acer negundo,,1,Accepted,Acer negundo,L.,Sapindaceae,tpl;usda;tropicos, ,
Acer nigrum,Acer nigrum,,1,Synonym,Acer saccharum subsp. nigrum,(F.Michx.) Desmarais,Sapindaceae,tpl, ,
Acer platanoides,Acer platanoides,,1,Accepted,Acer platanoides,L.,Sapindaceae,tpl;usda;tropicos, ,
Acer saccharum,Acer saccharum,,1,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;usda;tropicos, ,
Acer sp.,Acer,,0.9,Accepted,Acer,,Sapindaceae,tpl, ,
Acers saccharum,Acer saccharum,,0.96,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;usda;tropicos, ,
Achillea millefolium,Achillea millefolium,,1,Accepted,Achillea millefolium,,Asteraceae,tpl, ,
Actaea pachypoda,Actaea pachypoda,,1,Accepted,Actaea pachypoda,Elliott,Ranunculaceae,tpl;usda;tropicos, ,
Actinomeris alternifolia,Actinomeris alternifolia,,1,Synonym,Verbesina alternifolia,(L.) Britton ex Kearney,Asteraceae,gcc, ,urn:lsid:compositae.org:names:DA9F7876-616E-41B8-9E50-B2ACDC944AFE
Aesculus sp.,Aesculus,,0.9,Accepted,Aesculus,,Sapindaceae,tpl;usda, ,
Ageratina altissima,Ageratina altissima,,1,Accepted,Ageratina altissima,(L.) R.M.King & H.Rob.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7012A206-803B-402D-A008-440403B9B5ED
AGRALT,No suitable matches found.,,0,,,,,, ,
Agrimonia gryposepala,Agrimonia gryposepala,,1,Accepted,Agrimonia gryposepala,Wallr.,Rosaceae,tpl;usda;tropicos, ,
Agrimonia pubescens,Agrimonia pubescens,,1,Accepted,Agrimonia pubescens,Wallr.,Rosaceae,tpl;usda;tropicos, ,
Agrimonia sp.,Agrimonia,,0.9,Accepted,Agrimonia,,Rosaceae,tpl;usda, ,
Agrimonia Sp.,Agrimonia,,0.9,Accepted,Agrimonia,,Rosaceae,tpl;usda, ,
Agrononia sp.,Agrimonia,,0.73,Accepted,Agrimonia,,Rosaceae,tpl;usda, ,
Alisma subcordatum,Alisma subcordatum,,1,Accepted,Alisma subcordatum,Raf.,Alismataceae,tpl;usda;tropicos, ,
ALLBUR,Allium,,0.6,Accepted,Allium,,Amaryllidaceae,tpl, ,
Alliaria petiolata,Alliaria petiolata,,1,Accepted,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,tpl, ,
Allium burdickii,Allium burdickii,,1,Synonym,Allium tricoccum var. burdickii,Hanes,Amaryllidaceae,tpl, ,
Allium canadense,Allium canadense,,1,Accepted,Allium canadense,L.,Amaryllidaceae,tpl;usda;tropicos, ,
Allium cernuum,Allium cernuum,,1,Accepted,Allium cernuum,Roth,Amaryllidaceae,tpl;usda;tropicos, ,
Allium sp.,Allium,,0.9,Accepted,Allium,,Amaryllidaceae,tpl, ,
Allium tricoccum,Allium tricoccum,,1,Accepted,Allium tricoccum,Aiton,Amaryllidaceae,tpl;usda;tropicos, ,
Allium vineale,Allium vineale,,1,Accepted,Allium vineale,L.,Amaryllidaceae,tpl;usda;tropicos, ,
Ambrosia artemisiifolia,Ambrosia artemisiifolia,,1,Accepted,Ambrosia artemisiifolia,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:5717C1D3-5B5F-4298-95E3-25D4AFE147CE
Ambrosia artemisiifolia elatior,Ambrosia artemisiifolia var. elatior,,0.96,Synonym,Ambrosia artemisiifolia,L.,Asteraceae,gcc;tropicos, ,urn:lsid:compositae.org:names:5717C1D3-5B5F-4298-95E3-25D4AFE147CE
Ambrosia trifida,Ambrosia trifida,,1,Accepted,Ambrosia trifida,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:A2275973-D61B-486C-9905-0E305DA158A6
AMOSPA,Amorpha,,0.69,Accepted,Amorpha,,Fabaceae,tpl;usda, ,
Amphicarpaea bracteata,Amphicarpaea bracteata,,1,No opinion,,,,tpl, ,
Anemone canadensis,Anemone canadensis,,1,Accepted,Anemone canadensis,L.,Ranunculaceae,tpl;usda;tropicos, ,
Anemone quinquefolia,Anemone quinquefolia,,1,Accepted,Anemone quinquefolia,L.,Ranunculaceae,tpl;usda;tropicos, ,
Anemone virginiana,Anemone virginiana,,1,Accepted,Anemone virginiana,L.,Ranunculaceae,tpl;usda;tropicos, ,
Anemonella thalictroides,Anemonella thalictroides,,1,Accepted,Anemonella thalictroides,(L.) Spach,Ranunculaceae,tpl, ,
Apocynum cannabinum,Apocynum cannabinum,,1,Accepted,Apocynum cannabinum,L.,Apocynaceae,tpl;usda;tropicos, ,
Apocynum sibiricum,Apocynum sibiricum,,1,Synonym,Apocynum cannabinum,L.,Apocynaceae,tpl, ,
Arctium minus,Arctium minus,,1,Accepted,Arctium minus,,Asteraceae,tpl, ,
Arisaema dracontium,Arisaema dracontium,,1,Accepted,Arisaema dracontium,(L.) Schott,Araceae,tpl;usda;tropicos, ,
Arisaema triphyllum,Arisaema triphyllum,,1,Accepted,Arisaema triphyllum,(L.) Schott,Araceae,tpl;usda;tropicos, ,
Asarum canadense,Asarum canadense,,1,Accepted,Asarum canadense,L.,Aristolochiaceae,tpl;usda;tropicos, ,
ASCGLA,Ascra,,0.6,No opinion,,,,tpl, ,
Asimina triloba,Asimina triloba,,1,Accepted,Asimina triloba,(L.) Dunal,Annonaceae,tpl;usda;tropicos, ,
Aster ericoides,Aster ericoides,,1,Synonym,Symphyotrichum ericoides,(L.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:DC9D8E69-A41F-4858-B499-28A90966345E
Aster lateriflorus,Aster lateriflorus,,1,Synonym,Symphyotrichum lateriflorum,(L.) ç.Lšve & D.Lšve,Asteraceae,gcc, ,urn:lsid:compositae.org:names:FABA6C06-F343-4CEC-AF2B-17DFE6A11170
Aster pilosus,Aster pilosus,,1,Synonym,Symphyotrichum pilosum,(Willd.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:B8851780-07FE-4029-8726-66EFF3A4DCE4
Aster sp.?,Aster,,0.9,Accepted,Aster,,Asteraceae,tpl;usda, ,
B??,No suitable matches found.,,0,,,,,, ,
Barbarea vulgaris,Barbarea vulgaris,,1,Accepted,Barbarea vulgaris,R.Br.,Brassicaceae,tpl, ,
Berberis thunbergii,Berberis thunbergii,,1,Accepted,Berberis thunbergii,DC.,Berberidaceae,tpl;usda;tropicos, ,
Bidens frondosa,Bidens frondosa,,1,Accepted,Bidens frondosa,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:37AC0D09-DBDB-4FB1-AFF9-3D06035F0659
Bidens sp.,Bidens,,0.9,No opinion,,,,tpl, ,
Brassica sp.,Brassica,,0.9,Accepted,Brassica,,Brassicaceae,tpl;usda, ,
Bromus inermis,Bromus inermis,,1,Accepted,Bromus inermis,Leyss.,Poaceae,tpl;usda;tropicos, ,
Bromus sp.,Bromus,,0.9,Accepted,Bromus,,Poaceae,tpl;usda, ,
Cacalia atriplicifolia,Cacalia atriplicifolia,,1,Synonym,Arnoglossum atriplicifolium,(L.) H.Rob.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:60F9EE83-272E-454B-8F57-9194D278CCE0
Calaminta vulgaris,Calamintha vulgaris,,0.98,Synonym,Clinopodium vulgare,L.,Lamiaceae,tpl, [Ambiguous match] ,
Calluna vulgaris,Calluna vulgaris,,1,Accepted,Calluna vulgaris,(L.) Hull,Ericaceae,tpl;usda;tropicos, ,
Camassia scilloides,Camassia scilloides,,1,Accepted,Camassia scilloides,(Raf.) Cory,Asparagaceae,tpl;usda;tropicos, ,
Cammassia?,Camassia,,0.95,Accepted,Camassia,,Asparagaceae,tpl;usda, ,
Campanula americana,Campanula americana,,1,Accepted,Campanula americana,L.,Campanulaceae,tpl;tropicos, ,
Cardamine canadensis,Cardamine,,0.5,Accepted,Cardamine,,Brassicaceae,tpl;usda, [Partial match] ,
Cardamine concatenata,Cardamine concatenata,,1,Accepted,Cardamine concatenata,(Michx.) O.Schwarz,Brassicaceae,tpl, ,
Cardamine douglassii,Cardamine douglassii,,1,Accepted,Cardamine douglassii,Britton,Brassicaceae,usda;tropicos, ,
Carex albursina,Carex albursina,,1,Accepted,Carex albursina,E.Sheld.,Cyperaceae,tpl, ,
Carex blanda,Carex blanda,,1,Accepted,Carex blanda,Dewey,Cyperaceae,tpl;usda;tropicos, ,
Carex hirtifolia,Carex hirtifolia,,1,Accepted,Carex hirtifolia,Mack.,Cyperaceae,tpl;usda;tropicos, ,
Carex jamesii,Carex jamesii,,1,Accepted,Carex jamesii,Schwein.,Cyperaceae,tpl;usda;tropicos, ,
Carex pensylvanica,Carex pensylvanica,,1,Accepted,Carex pensylvanica,Lam.,Cyperaceae,tpl;usda;tropicos, ,
Carex sp.,Carex,,0.9,Accepted,Carex,,Cyperaceae,tpl, ,
Carex sp. #1,Carex,,0.9,Accepted,Carex,,Cyperaceae,tpl, ,
Carex sp. #2,Carex,,0.9,Accepted,Carex,,Cyperaceae,tpl, ,
Carex sp. #3,Carex,,0.9,Accepted,Carex,,Cyperaceae,tpl, ,
Carex trichocarpa,Carex trichocarpa,,1,Accepted,Carex trichocarpa,Muhl. ex Willd.,Cyperaceae,tpl;usda;tropicos, ,
Carya cordiformis,Carya cordiformis,,1,Accepted,Carya cordiformis,(Wangenh.) K.Koch,Juglandaceae,tpl, ,
Carya ovata,Carya ovata,,1,Accepted,Carya ovata,(Mill.) K.Koch,Juglandaceae,tpl, ,
Carya sp.,Carya,,0.9,Accepted,Carya,,Juglandaceae,tpl;usda, ,
Caulophyllum thalictroides,Caulophyllum thalictroides,,1,Accepted,Caulophyllum thalictroides,(L.) Michx.,Berberidaceae,tpl;usda;tropicos, ,
Celastrus orbiculatus,Celastrus orbiculatus,,1,Accepted,Celastrus orbiculatus,Thunb.,Celastraceae,tpl;usda;tropicos, ,
Celtis occidentalis,Celtis occidentalis,,1,Accepted,Celtis occidentalis,L.,Cannabaceae,tpl;usda;tropicos, ,
Cerastium sp.,Cerastium,,0.9,Accepted,Cerastium,,Caryophyllaceae,tpl;usda, ,
Cerastrium sp.,Cerastium,,0.86,Accepted,Cerastium,,Caryophyllaceae,tpl;usda, ,
