Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Tilia americana,Tilia americana,,1,Accepted,Tilia americana,L.,Malvaceae,tpl;usda;tropicos, ,
Tragopogon dubius,Tragopogon dubius,,1,Accepted,Tragopogon dubius,Scop.,Asteraceae,usda;tropicos, ,
Tree species,Trema,,0.42,Accepted,Trema,,Cannabaceae,tpl;usda, ,
Trifolium hybridum,Trifolium hybridum,,1,No opinion,,,,tpl, ,
Trifolium pratense,Trifolium pratense,,1,No opinion,,,,tpl, ,
Trifolium repens,Trifolium repens,,1,Accepted,Trifolium repens,,Fabaceae,tpl, ,
Typha angustifolia,Typha angustifolia,,1,Accepted,Typha angustifolia,L.,Typhaceae,tpl;usda;tropicos, ,
Typha latifolia,Typha latifolia,,1,Accepted,Typha latifolia,L.,Typhaceae,tpl;usda;tropicos, ,
Ulmus americana,Ulmus americana,,1,Accepted,Ulmus americana,L.,Ulmaceae,tpl;usda;tropicos, ,
Ulmus pumila,Ulmus pumila,,1,Accepted,Ulmus pumila,L.,Ulmaceae,tpl;usda;tropicos, ,
Ulmus rubra,Ulmus rubra,,1,Accepted,Ulmus rubra,Muhl.,Ulmaceae,tpl;usda;tropicos, ,
Ulmus species,Ulmus,,0.9,Accepted,Ulmus,,Ulmaceae,tpl;usda, ,
Unidentified forb,No suitable matches found.,,0,,,,,, ,
Unidentified seedling,No suitable matches found.,,0,,,,,, ,
Unidentified shrub,No suitable matches found.,,0,,,,,, ,
Unidentified species,No suitable matches found.,,0,,,,,, ,
Unidentified species-3-leaved,No suitable matches found.,,0,,,,,, ,
Unidentified species-milky sap,No suitable matches found.,,0,,,,,, ,
Unidentified species-single leaf,No suitable matches found.,,0,,,,,, ,
Urtica dioica,Urtica dioica,,1,Accepted,Urtica dioica,L.,Urticaceae,tpl;usda;tropicos, ,
Uvularia sessilifolia,Uvularia sessilifolia,,1,Accepted,Uvularia sessilifolia,L.,Colchicaceae,tpl;usda;tropicos, ,
Viburnum lentago,Viburnum lentago,,1,Accepted,Viburnum lentago,L.,Adoxaceae,tpl;usda;tropicos, ,
Viburnum opulus,Viburnum opulus,,1,Accepted,Viburnum opulus,L.,Adoxaceae,tpl;usda;tropicos, ,
Viburnum prunifolium,Viburnum prunifolium,,1,Accepted,Viburnum prunifolium,L.,Adoxaceae,tpl;usda;tropicos, ,
Viburnum rafinesquianum,Viburnum rafinesquianum,,1,Accepted,Viburnum rafinesquianum,Schult.,Adoxaceae,tpl;tropicos, ,
Viburnum recognitum,Viburnum recognitum,,1,Accepted,Viburnum recognitum,Fernald,Adoxaceae,tpl;usda;tropicos, ,
Viburnum species,Viburnum,,0.9,Accepted,Viburnum,,Adoxaceae,tpl, ,
Viburnumspecies,No suitable matches found.,,0,,,,,, ,
Vine species,Vignea,,0.5,No opinion,,,,tpl, ,
Viola pubescens,Viola pubescens,,1,Accepted,Viola pubescens,Aiton,Violaceae,tpl;usda;tropicos, ,
Viola species,Viola,,0.9,Accepted,Viola,,Violaceae,tpl, ,
Vitis riparia,Vitis riparia,,1,Synonym,Vitis vulpina,L.,Vitaceae,tpl, ,
