,Original_name,Accepted_name,
132,Helianthus divaricatus,Helianthus divaricatus,
133,Helianthus species,Helianthus species,
134,Helianthus strumosus,Helianthus strumosus,
135,Hepatica acutiloba,Anemone hepatica var. acuta,
136,Hickory species,Hickory species,
137,Hydrastis canadensis,Hydrastis canadensis,
138,Hydrophyllum virginianum,Hydrophyllum virginianum,
139,Hystrix patula,Hystrix patula,
140,Impatiens capensis,Impatiens capensis,
141,Impatiens pallida,Impatiens pallida,
142,Impatiens species,Impatiens,
143,Isopyrum biternatum,Enemion biternatum,
144,Juglans cinerea,Juglans cinerea,
145,Juglans nigra,Juglans nigra,
146,Juncus dudleyi,Juncus dudleyi,
147,Juniperus virginiana,Juniperus virginiana,
148,Lactuca canadensis,Lactuca canadensis,
149,Lactuca floridana,Lactuca floridana,
150,Lactuca serriola,Lactuca serriola,
151,Lactuca species,Lactuca species,
152,Leersia oryzoides,Leersia oryzoides,
153,Leersia virginica,Leersia virginica,
154,Ligustrum species,Ligustrum,
155,Liriodendron tulipifera,Liriodendron tulipifera,
156,Lonicera maackii,Lonicera maackii,
157,Lonicera prolifera,Lonicera prolifera,
158,Lonicera species,Lonicera,
159,Lonicera tatarica,Lonicera tatarica,
160,Lycopus americanus,Lycopus americanus,
161,Maclura pomifera,Maclura pomifera,
162,Malus species,Malus,
163,Melilotus alba,Melilotus officinalis subsp. alba,
164,Melilotus officinalis,Melilotus officinalis,
165,Menispermum canadense,Menispermum canadense,
166,Mint species,Mint species,
167,Monarda fistulosa,Monarda fistulosa,
168,Morus alba,Morus alba,
169,Morus rubra,Morus rubra,
170,NONE,Nonea,
171,Onoclea sensibilis,Onoclea sensibilis,
172,Osmorhiza longistylis,Osmorhiza longistylis,
173,Osmunda claytoniana,Osmunda claytoniana,
174,Ostrya virginiana,Ostrya virginiana,
175,Oxalis europaea,Oxalis stricta,
176,Oxalis stricta,Oxalis stricta,
177,Panicum implicatum,Panicum acuminatum,
178,Panicum species,Panicum,
179,Panicum spretum,Panicum acuminatum,
180,Parthenocissus quinquefolia,Parthenocissus quinquefolia,
181,Pastinaca sativa,Pastinaca sativa,
182,Phalaris arundinacea,Phalaris arundinacea,
183,Phleum pratense,Phleum pratense,
184,Phryma leptostachya,Phryma leptostachya,
185,Physalis species,Physalis,
186,Physalis virginiana,Physalis virginiana,
187,Phytolacca americana,Phytolacca americana,
188,Picea species,Picea,
189,Pilea pumila,Pilea pumila,
190,Pinus banksiana,Pinus banksiana,
191,Pinus resinosa,Pinus resinosa,
192,Plantago lanceolata,Plantago lanceolata,
193,Plantago rugelii,Plantago rugelii,
194,Poa pratensis,Poa pratensis,
195,Poa species,Poa,
196,Podophyllum peltatum,Podophyllum peltatum,
197,Polemonium reptans,Polemonium reptans,
198,Polygonatum canaliculatum,Polygonatum biflorum,
199,Polygonum lapathifolium,Persicaria lapathifolia,
200,Polygonum punctatum,Persicaria punctata,
201,Polygonum species,Polygonum,
202,Polygonum virginianum,Polygonum virginianum,
203,Polypodium virginianum,Polypodium virginianum,
204,Populus alba,Populus alba,
205,Populus deltoides,Populus deltoides,
206,Populus grandidentata,Populus grandidentata,
207,Populus species,Populus,
208,Potentilla norvegica,Potentilla norvegica,
209,Potentilla recta,Potentilla recta,
210,Potentilla simplex,Potentilla simplex,
211,Prenanthes alba,Nabalus albus,
212,Prenanthes species,Prenanthes species,
213,Prunella vulgaris,Prunella vulgaris,
214,Prunella vulgaris lanceolata,Prunella vulgaris subsp. lanceolata,
215,Prunus americana,Prunus americana,
216,Prunus serotina,Prunus serotina,
217,Prunus species,Prunus,
218,Prunus virginiana,Prunus virginiana,
219,Pseudotsuga menziesii,Pseudotsuga menziesii,
220,Ptelea trifoliata,Ptelea trifoliata,
221,Quercus alba,Quercus alba,
222,Quercus bicolor,Quercus bicolor,
223,Quercus coccinea,Quercus coccinea,
224,Quercus macrocarpa,Quercus macrocarpa,
225,Quercus palustris,Quercus palustris,
226,Quercus rubra,Quercus rubra,
227,Quercus species,Quercus,
228,Ranunculus abortivus,Ranunculus abortivus,
229,Ranunculus hispidus,Ranunculus hispidus,
230,Ranunculus pensylvanicus,Ranunculus pensylvanicus,
231,Ranunculus species,Ranunculus,
232,Ratibida pinnata,Ratibida pinnata,
233,Rhamnus carthartica,Rhamnus cathartica,
234,Rhamnus cathartica,Rhamnus cathartica,
235,Rhamnus frangula,Frangula alnus,
236,Rhamnus species,Rhamnus,
237,Rhus glabra,Rhus glabra,
238,Rhus radicans,Toxicodendron radicans,
239,Rhus typhina,Rhus typhina,
240,Ribes missouriense,Ribes missouriense,
241,Ribes species,Ribes,
242,Robinia pseudoacacia,Robinia pseudoacacia,
243,Robinia pseudocacia,Robinia pseudoacacia,
244,Rosa carolina,Rosa carolina,
245,Rosa multiflora,Rosa multiflora,
246,Rosa species,Rosa,
247,rttf,Ruta,
248,Rubus allegheniensis,Rubus allegheniensis,
249,Rubus idaeus strigosus,Rubus idaeus subsp. strigosus,
250,Rubus occidentalis,Rubus occidentalis,
251,Rubus species,Rubus,
252,Rumex crispus,Rumex crispus,
253,Rumex orbiculatus,Rumex britannica,
254,Salix interior,Salix interior,
255,Salix nigra,Salix nigra,
256,Sambucus canadensis,Sambucus canadensis,
257,Sanguinaria canadensis,Sanguinaria canadensis,
258,Scirpus species,Scirpus,
259,Scrophularia species,Scrophularia,
260,Scutellaria lateriflora,Scutellaria lateriflora,
261,Sedge species,Sedum,
262,Setaria species,Setaria,
263,Shrub species,Shrub species,
264,Silphium integrifolium,Silphium integrifolium,
265,Sium suave,Sium suave,
266,Smilacina racemosa,Maianthemum racemosum,
267,Smilacina species,Smilacina species,
268,Smilax lasioneura,Smilax lasioneura,
269,Smilax species,Smilax,
270,Smilax tamnoides hispida,Smilax tamnoides,
271,Solanum dulcamara,Solanum dulcamara,
272,Solanum species,Solanum,
273,Solidago canadensis,Solidago canadensis,
274,Solidago flexicaulis,Solidago flexicaulis,
275,Solidago gigantea,Solidago gigantea,
276,Solidago graminifolia,Euthamia graminifolia,
277,Solidago species,Solidago,
278,Solidago tenuifolia,Euthamia caroliniana,
279,Solidago ulmifolia,Solidago ulmifolia,
280,Sonchus asper,Sonchus asper,
281,Sonchus species,Sonchus species,
282,Sorghastrum nutans,Sorghastrum nutans,
283,Staphylea trifolia,Staphylea trifolia,
284,Stylophorum diphyllum,Stylophorum diphyllum,
285,Taraxacum officinale,Taraxacum campylodes,
286,Thalictrum dioicum,Thalictrum dioicum,
287,Tilia americana,Tilia americana,
288,Tragopogon dubius,Tragopogon dubius,
289,Tree species,Trema,
290,Trifolium hybridum,Trifolium hybridum,
291,Trifolium pratense,Trifolium pratense,
292,Trifolium repens,Trifolium repens,
293,Typha angustifolia,Typha angustifolia,
294,Typha latifolia,Typha latifolia,
295,Ulmus americana,Ulmus americana,
296,Ulmus pumila,Ulmus pumila,
297,Ulmus rubra,Ulmus rubra,
298,Ulmus species,Ulmus,
299,Unidentified forb,Unidentified forb,
300,Unidentified seedling,Unidentified seedling,
301,Unidentified shrub,Unidentified shrub,
302,Unidentified species,Unidentified species,
303,Unidentified species-3-leaved,Unidentified species-3-leaved,
304,Unidentified species-milky sap,Unidentified species-milky sap,
305,Unidentified species-single leaf,Unidentified species-single leaf,
306,Urtica dioica,Urtica dioica,
307,Uvularia sessilifolia,Uvularia sessilifolia,
308,Viburnum lentago,Viburnum lentago,
309,Viburnum opulus,Viburnum opulus,
310,Viburnum prunifolium,Viburnum prunifolium,
311,Viburnum rafinesquianum,Viburnum rafinesquianum,
312,Viburnum recognitum,Viburnum recognitum,
313,Viburnum species,Viburnum,
314,Viburnumspecies,Viburnumspecies,
315,Vine species,Vine species,
316,Viola pubescens,Viola pubescens,
317,Viola species,Viola,
318,Vitis riparia,Vitis vulpina,
