,Original_name,Accepted_name,
136,Cladastris kentukea,Cladrastis kentukea,
137,Cladrastis lutea,,Cladrastis lutea
138,Claytonia virginica,Claytonia virginica,
139,Clematis virginiana,Clematis virginiana,
140,Composite,,
141,Composite sp.,,
142,Convolvulus arvensis,Convolvulus arvensis,
143,Convolvulus sepium,Calystegia sepium,
144,Convolvulus sp.,Convolvulus,
145,Convolvulus species,Convolvulus,
146,Convovulus sp.,Convolvulus,
147,Coreopsis tripteris,Coreopsis tripteris,
148,Cornus racemosa,Cornus racemosa,
149,Cornus sp.,Cornus,
150,Coronilla varia,Securigera varia,
151,Crataegus sp.,Crataegus,
152,Crataegus species,Crataegus,
153,Cryptotaenia canadensis,Cryptotaenia canadensis,
154,Cystopteris protrusa,Cystopteris protrusa,
155,Dactylis glomerata,Dactylis glomerata,
156,Danthonia spicata,Danthonia spicata,
157,Daucus carota,Daucus carota,
158,Desmodium species,Desmodium,
159,Dicentra cucullaria,Dicentra cucullaria,
160,Dioscorea villosa,Dioscorea villosa,
161,Dipsacus fullonum,Dipsacus fullonum,
162,Dipsacus laciniatus,Dipsacus laciniatus,
163,Dipsacus sylvestris,Dipsacus fullonum,
164,Dodecatheon meadia,Dodecatheon meadia,
165,Duchesnea indica,Duchesnea indica,
166,Ellisia nyctelea,Ellisia nyctelea,
167,Elmus hystrix,Elymus elymoides,
168,Elymus hystrix,Elymus elymoides,
169,Elymus sp.,Elymus,
170,Elymus villosus,Elymus villosus,
171,Elymus virginicus,Elymus virginicus,
172,Enemion biternatum,Enemion biternatum,
173,Epilobium coloratum,Epilobium coloratum,
174,Equisetum arvense,Equisetum arvense,
175,Erechtites hieracifolia,Erechtites hieraciifolius,
176,Erigeron annuus,Erigeron annuus,
177,Erigeron canadensis,,Erigeron canadensis
178,Erigeron philadelphicus,Erigeron philadelphicus,
179,Erigeron sp.,Erigeron,
180,Erigeron strigosus,Erigeron strigosus,
181,Erythronium albidum,Erythronium albidum,
182,Euonymus alatus,Euonymus alatus,
183,Euonymus atropurpureus,Euonymus atropurpureus,
184,Euonymus europaeus,Euonymus europaeus,
185,Euonymus sp.,Euonymus,
186,Euonymus species,Euonymus,
187,Eupatorium purpureum,Eupatorium purpureum,
188,Eupatorium rugosum,Ageratina altissima,
189,Eupatorium sp.,Eupatorium,
190,Festuca elatior,Festuca arundinacea,
191,Festuca species,Festuca,
192,Floerkea proserpinacoides,Floerkea proserpinacoides,
193,Forb species,,
194,Fragaria vesca americana,Fragaria vesca subsp. americana,
195,Fragaria virginiana,Fragaria virginiana,
196,Fraxinus,Fraxinus,
197,Fraxinus - Collections,,
198,Fraxinus americana,Fraxinus americana,
199,Fraxinus pennsylvanica,Fraxinus pennsylvanica,
200,Fraxinus pennsylvanica subintegerrima,Fraxinus pennsylvanica,
201,Fraxinus quadrangulata,Fraxinus quadrangulata,
202,Fraxinus seedling,Fraxinus,
203,Fraxinus sp.,Fraxinus,
204,Fraxinus species,Fraxinus,
205,Galium aparine,Galium aparine,
206,Galium asprellum,Galium asprellum,
207,Galium circaezans,Galium circaezans,
208,Galium obtusum,Galium obtusum,
209,Galium sp.,Galium,
210,Galium species,Galium,
211,Galium triflorum,Galium triflorum,
212,Geranium maculatum,Geranium maculatum,
213,Germaniun maculatum,Geranium maculatum,
214,Geum canadense,Geum canadense,
215,Geum sp.,Geum,
216,Glechoma hederacea,Glechoma hederacea,
217,Gleditsia triacanthos,,Gleditsia triacanthos
218,Glyceria striata,Glyceria striata,
219,Grass species,Grias,
220,Gymnocladus dioica,Gymnocladus dioica,
221,Gymnocladus dioicus,Gymnocladus dioica,
222,Hackelia virginiana,Hackelia virginiana,
223,Hairy weed,,
224,Helenium autumnale,Helenium autumnale,
225,Helianthus divaricatus,Helianthus divaricatus,
226,Helianthus grosseserratus,Helianthus grosseserratus,
227,Helianthus sp.,,
228,Helianthus species,,
229,Helianthus strumosus,Helianthus strumosus,
230,Hepatica acutiloba,Anemone hepatica var. acuta,
231,Hesperis matronalis,Hesperis matronalis,
232,Hickory species,,
233,Hydrastis canadensis,Hydrastis canadensis,
234,Hydrophyllum appendiculatum,Hydrophyllum appendiculatum,
235,Hydrophyllum sp.,Hydrophyllum,
236,Hydrophyllum virginianum,Hydrophyllum virginianum,
237,Hystrix patula,Hystrix patula,
238,Impatiens capensis,Impatiens capensis,
239,Impatiens pallida,Impatiens pallida,
240,Impatiens sp.,Impatiens,
241,Impatiens species,Impatiens,
242,Impatients sp.,Impatiens,
243,Isopyrum biternatum,Enemion biternatum,
244,Juglans cinerea,Juglans cinerea,
245,Juglans nigra,Juglans nigra,
246,Juncus dudleyi,Juncus dudleyi,
247,Juncus sp.,Juncus,
248,Juniperus virginiana,Juniperus virginiana,
249,Lactuca canadensis,Lactuca canadensis,
250,Lactuca floridana,Lactuca floridana,
251,Lactuca serriola,Lactuca serriola,
252,Lactuca sp.,,
253,Lactuca species,,
254,Laportea canadensis,Laportea canadensis,
255,Leersia oryzoides,Leersia oryzoides,
256,Leersia virginica,Leersia virginica,
257,Ligusticum sp.,Ligusticum,
258,Ligustrum species,Ligustrum,
259,Liriodendron tulipifera,Liriodendron tulipifera,
260,lonicera maackii,Lonicera maackii,
261,Lonicera maackii,Lonicera maackii,
262,Lonicera prolifera,Lonicera prolifera,
263,Lonicera sp.,Lonicera,
264,Lonicera species,Lonicera,
265,Lonicera tatarica,Lonicera tatarica,
266,Lycopus americanus,Lycopus americanus,
267,Lysimachia ciliata,Lysimachia ciliata,
268,Lythrum alatum,Lythrum alatum,
269,Maclura pomifera,Maclura pomifera,
270,Maianthemum racemosum,Maianthemum racemosum,
271,MAIRAC,Marah,
272,Malus sieboldii,Malus sieboldii,
273,Malus sp.,Malus,
274,Malus species,Malus,
275,Melilotus alba,Melilotus officinalis subsp. alba,
276,Melilotus officinalis,,Melilotus officinalis
277,Menispermum canadense,Menispermum canadense,
278,Menispermum sp.,Menispermum,
279,Mertensia virginica,Mertensia virginica,
280,Mint species,,
281,Monarda fistulosa,Monarda fistulosa,
282,Morus alba,Morus alba,
283,Morus rubra,Morus rubra,
284,Morus sp.,Morus,
285,No data,,
286,No trees,,
287,No Trees,,
288,NONE,Nonea,
289,Onoclea sensibilis,Onoclea sensibilis,
290,Osm. Sp.,Osa,
291,Osmorhiza claytoniana,Osmorhiza,
292,Osmorhiza claytonii,Osmorhiza aristata var. aristata,
293,Osmorhiza longistylis,Osmorhiza longistylis,
294,Osmorhiza sp.,Osmorhiza,
295,Osmunda claytoniana,Osmunda claytoniana,
296,Ostrya virginiana,Ostrya virginiana,
297,Oxalis europaea,Oxalis stricta,
298,Oxalis sp.,Oxalis,
299,Oxalis stricta,Oxalis stricta,
300,Panicum implicatum,Panicum acuminatum,
301,Panicum species,Panicum,
302,Panicum spretum,Panicum acuminatum,
303,Parthenocissus quinquefolia,Parthenocissus quinquefolia,
304,Parthenocissus sp.,Parthenocissus,
305,Pastinaca sativa,Pastinaca sativa,
306,Persicaria coccinea,Persicaria amphibia,
307,Phalaris arundinacea,Phalaris arundinacea,
308,Phellodendron amurense,Phellodendron amurense,
309,Phleum pratense,Phleum pratense,
310,Phlox divaricata,Phlox divaricata,
311,PHRCAN,Phaca,
312,Phryma leptostachya,Phryma leptostachya,
313,Physalis species,Physalis,
314,Physalis virginiana,Physalis virginiana,
315,Phytolacca americana,Phytolacca americana,
316,Picea abies,Picea abies,
317,Picea species,Picea,
318,Pilea pumila,Pilea pumila,
319,Pinus banksiana,Pinus banksiana,
320,Pinus resinosa,Pinus resinosa,
321,Pinus sp.,Pinus,
322,Plantago lanceolata,Plantago lanceolata,
323,Plantago rugelii,Plantago rugelii,
324,Poa compressa,Poa compressa,
325,Poa pratensis,Poa pratensis,
326,Poa sp.,Poa,
327,Poa species,Poa,
328,Podophyllum peltatum,Podophyllum peltatum,
329,POLBIF,Pollia,
330,Polemonium reptans,Polemonium reptans,
331,Polgonatum biflorum,Polygonatum biflorum,
332,Polygonatum biflorum,Polygonatum biflorum,
333,Polygonatum canaliculatum,Polygonatum biflorum,
334,Polygonum biflorum,Polygonatum biflorum,
335,Polygonum lapathifolium,Persicaria lapathifolia,
336,Polygonum punctatum,Persicaria punctata,
337,Polygonum scandens,Fallopia scandens,
338,Polygonum sp.,Polygonum,
339,Polygonum species,Polygonum,
340,Polygonum virginianum,Polygonum virginianum,
341,Polygonum. Sp.,Polygonum,
342,Polypodium virginianum,Polypodium virginianum,
343,Populus alba,Populus alba,
344,Populus deltoides,Populus deltoides,
