"","Original_name"
"244","Rosa carolina"
"245","Rosa multiflora"
"246","Rosa species"
"247","rttf"
"248","Rubus allegheniensis"
"249","Rubus idaeus strigosus"
"250","Rubus occidentalis"
"251","Rubus species"
"252","Rumex crispus"
"253","Rumex orbiculatus"
"254","Salix interior"
"255","Salix nigra"
"256","Sambucus canadensis"
"257","Sanguinaria canadensis"
"258","Scirpus species"
"259","Scrophularia species"
"260","Scutellaria lateriflora"
"261","Sedge species"
"262","Setaria species"
"263","Shrub species"
"264","Silphium integrifolium"
"265","Sium suave"
"266","Smilacina racemosa"
"267","Smilacina species"
"268","Smilax lasioneura"
"269","Smilax species"
"270","Smilax tamnoides hispida"
"271","Solanum dulcamara"
"272","Solanum species"
"273","Solidago canadensis"
"274","Solidago flexicaulis"
"275","Solidago gigantea"
"276","Solidago graminifolia"
"277","Solidago species"
"278","Solidago tenuifolia"
"279","Solidago ulmifolia"
"280","Sonchus asper"
"281","Sonchus species"
"282","Sorghastrum nutans"
"283","Staphylea trifolia"
"284","Stylophorum diphyllum"
"285","Taraxacum officinale"
"286","Thalictrum dioicum"
"287","Tilia americana"
"288","Tragopogon dubius"
"289","Tree species"
"290","Trifolium hybridum"
"291","Trifolium pratense"
"292","Trifolium repens"
"293","Typha angustifolia"
"294","Typha latifolia"
"295","Ulmus americana"
"296","Ulmus pumila"
"297","Ulmus rubra"
"298","Ulmus species"
"299","Unidentified forb"
"300","Unidentified seedling"
"301","Unidentified shrub"
"302","Unidentified species"
"303","Unidentified species-3-leaved"
"304","Unidentified species-milky sap"
"305","Unidentified species-single leaf"
"306","Urtica dioica"
"307","Uvularia sessilifolia"
"308","Viburnum lentago"
"309","Viburnum opulus"
"310","Viburnum prunifolium"
"311","Viburnum rafinesquianum"
"312","Viburnum recognitum"
"313","Viburnum species"
"314","Viburnumspecies"
"315","Vine species"
"316","Viola pubescens"
"317","Viola species"
"318","Vitis riparia"
