"","x"
"Sparganium eurycarpum",1
"Symphyotrichum ericoides",1
"Symphyotrichum lanceolatum",1
"Symphyotrichum novae-angliae",1
"Teucrium canadense",1
"Thelypteris confluens",1
"Tragopogon species",1
"Trifolium repens",1
"Trillium grandiflorum",1
"Urtica dioica",1
"Veronica",1
"Veronicastrum virginicum",1
"Viburnum",1
"Viburnum dentatum",1
"Viburnum lentago",1
"Viburnum prunifolium",1
"Viola pubescens",1
"Viola sororia var. missouriensis",1
"Vitis vulpina",1
"Acer saccharum subsp. nigrum",0
"Lonicera prolifera",0
"Onoclea sensibilis",0
"Pinus resinosa",0
"Populus grandidentata",0
"Silphium integrifolium",0
"Typha latifolia",0
