"","Original_name"
"232","Polygonum virginianum"
"233","Polygonum. Sp."
"234","Populus deltoides"
"235","Populus grandidentata"
"236","Potentilla recta"
"237","Potentilla simplex"
"238","Prenanthes alba"
"239","Prunella vulgaris"
"240","Prunus americana"
"241","Prunus serotina"
"242","Prunus virginiana"
"243","Pruser serotina"
"244","Ptelea trifoliata"
"245","Quercuas alba"
"246","Quercus alb"
"247","Quercus alba"
"248","Quercus ellipsoidalis"
"249","Quercus macrocarpa"
"250","Quercus rubra"
"251","Quercus sp."
"252","Ranunculus abortivus"
"253","Ranunculus ficaria"
"254","Ranunculus hispidus"
"255","Ranunculus hispidus v. nitidus"
"256","Ranunculus septentrionalis"
"257","Ranunculus sp."
"258","Rhamnus cathartica"
"259","Rhus radicans"
"260","Ribes missouriense"
"261","Ribes sp."
"262","Robinia pseudoacacia"
"263","Rosa carolina"
"264","Rosa multiflora"
"265","Rosa sp."
"266","Rubes idaeus strigosus"
"267","Rubus allegheniensis"
"268","Rubus hispidus"
"269","Rubus idaeus strigosus"
"270","Rubus occidentalis"
"271","Rubus pensilvanicus"
"272","Rubus sp."
"273","Rudbeckia hirta"
"274","Rumex crispus"
"275","Rumex sp."
"276","Salix sp."
"277","Sambucus canadensis"
"278","Sanguinaria canadensis"
"279","Sanicula gregaria"
"280","Sanicula sp."
"281","Schizachyrium scoparium"
"282","Scirpus atrovirens"
"283","Scutellaria lateriflora"
"284","Seedling"
"285","Seedlings"
"286","Silphium integrifolium"
"287","Silphium laciniatum"
"288","Sium suave"
"289","Smilacina racemosa"
"290","Smilax illinoensis"
"291","Smilax sp."
"292","Smilax tamnoides hispida"
"293","Solanum dulcamara"
"294","Solidago altissima"
"295","Solidago canadensis"
"296","Solidago flexicaulis"
"297","Solidago gigantea"
"298","Solidago sp."
"299","Solidago ulmifolia"
"300","Solidago. Sp."
"301","Sonchus arvensis"
"302","Sonchus sp."
"303","Sparganium eurycarpum"
"304","Stylophorum diphyllum"
"305","SYMLAT"
"306","Symphyothrichum"
"307","Symphyotrichim lateriflorus"
"308","Symphyotrichum drummondii"
"309","Symphyotrichum lanceolatum"
"310","Symphyotrichum lateriflorum"
"311","Symphyotrichum novae-angliae"
"312","Symphyotrichum pilosum"
"313","Symphyotrichum shortii"
"314","Symphyotrichum sp."
"315","Taraxacum officinale"
"316","Teucrium canadense"
"317","Thalictrum dioicum"
"318","Thelypteris palustris"
"319","Tilia americana"
"320","Toralos sp."
"321","Torilis japonica"
"322","Toxicodendron radicans"
"323","Toxicondendron radicans"
"324","Tragopogon sp."
"325","Trifolium pratense"
"326","Trifolium repens"
"327","Trillium grandiflorum"
"328","Trillium recurvatum"
"329","Typha latifolia"
"330","Ulmus americana"
"331","Ulmus pumila"
"332","Ulmus rubra"
"333","Ulmus sp."
"334","Unidentified"
"335","Unidentified composite"
"336","Unidentified forb"
"337","Unidentified grass"
"338","Unidentified legume"
"339","Unidentified seedling"
"340","Unidentified shrub"
"341","Unidentified sp."
"342","Unidentified vine"
"343","Unk. composite"
"344","Unk. Composite"
"345","Unk. Forb"
"346","Unk. grass"
"347","Unk. Grass"
"348","Unk. seedling"
"349","Unk. Seedling"
"350","Unk. Seedlings"
"351","Unk. Shrub"
"352","Unk. Snag"
"353","Unk. Sp."
"354","Unk. Vine"
"355","Unknown"
"356","Urtica dioica"
"357","Uvularia grandiflora"
"358","Verbesina alternifolia"
"359","Vernonia altissima"
"360","Veronica sp."
"361","Veronicastrum virginicum"
"362","Viburnum dentatum"
"363","Viburnum lentago"
"364","Viburnum opulus"
"365","Viburnum prunifolium"
"366","Viburnum sp."
"367","Vine seedling"
"368","Viola missouriensis"
"369","Viola pubescens"
"370","Viola sororia"
"371","Viola sp."
"372","Vitis riparia"
"373","Vitis sp."
"374","Weather station"
