"","Original_name"
"1","0"
"2","Acalypha rhomboidea"
"3","Acer negundo"
"4","Acer nigrum"
"5","Acer platanoides"
"6","Acer saccharum"
"7","Acer sp."
"8","Acers saccharum"
"9","Achillea millefolium"
"10","Actaea pachypoda"
"11","Actinomeris alternifolia"
"12","Aesculus sp."
"13","Ageratina altissima"
"14","AGRALT"
"15","Agrimonia gryposepala"
"16","Agrimonia pubescens"
"17","Agrimonia sp."
"18","Agrimonia Sp."
"19","Agrononia sp."
"20","Alisma subcordatum"
"21","ALLBUR"
"22","Alliaria petiolata"
"23","Allium burdickii"
"24","Allium canadense"
"25","Allium cernuum"
"26","Allium sp."
"27","Allium tricoccum"
"28","Allium vineale"
"29","Ambrosia artemisiifolia"
"30","Ambrosia artemisiifolia elatior"
"31","Ambrosia trifida"
"32","AMOSPA"
"33","Amphicarpaea bracteata"
"34","Anemone canadensis"
"35","Anemone quinquefolia"
"36","Anemone virginiana"
"37","Anemonella thalictroides"
"38","Apocynum cannabinum"
"39","Apocynum sibiricum"
"40","Arctium minus"
"41","Arisaema dracontium"
"42","Arisaema triphyllum"
"43","Asarum canadense"
"44","ASCGLA"
"45","Asimina triloba"
"46","Aster ericoides"
"47","Aster lateriflorus"
"48","Aster pilosus"
"49","Aster sp.?"
"50","B??"
"51","Barbarea vulgaris"
"52","Berberis thunbergii"
"53","Bidens frondosa"
"54","Bidens sp."
"55","Brassica sp."
"56","Bromus inermis"
"57","Bromus sp."
"58","Cacalia atriplicifolia"
"59","Calaminta vulgaris"
"60","Calluna vulgaris"
"61","Camassia scilloides"
"62","Cammassia?"
"63","Campanula americana"
"64","Cardamine canadensis"
"65","Cardamine concatenata"
"66","Cardamine douglassii"
"67","Carex albursina"
"68","Carex blanda"
"69","Carex hirtifolia"
"70","Carex jamesii"
"71","Carex pensylvanica"
"72","Carex sp."
"73","Carex sp. #1"
"74","Carex sp. #2"
"75","Carex sp. #3"
"76","Carex trichocarpa"
"77","Carya cordiformis"
"78","Carya ovata"
"79","Carya sp."
"80","Caulophyllum thalictroides"
"81","Celastrus orbiculatus"
"82","Celtis occidentalis"
"83","Cerastium sp."
"84","Cerastrium sp."
"85","Cercis canadensis"
"86","Chenopodium album"
"87","Chenopodium sp."
"88","Chrysanthemum leucanthemum"
"89","Circaea lutetiana"
"90","Circaea lutetiana canadensis"
"91","Cirsium arvense"
"92","Cirsium sp."
"93","Cirsium vulgare"
"94","Cladastris kentukea"
"95","Claytonia virginica"
"96","Clematis virginiana"
"97","Composite"
"98","Composite sp."
"99","Convolvulus sepium"
"100","Convolvulus sp."
"101","Convovulus sp."
"102","Coreopsis tripteris"
"103","Cornus racemosa"
"104","Cornus sp."
"105","Coronilla varia"
"106","Crataegus sp."
"107","Cryptotaenia canadensis"
"108","Cystopteris protrusa"
"109","Dactylis glomerata"
"110","Daucus carota"
"111","Dicentra cucullaria"
"112","Dipsacus fullonum"
"113","Dipsacus laciniatus"
"114","Dipsacus sylvestris"
"115","Dodecatheon meadia"
"116","Ellisia nyctelea"
"117","Elmus hystrix"
"118","Elymus hystrix"
"119","Elymus sp."
"120","Elymus villosus"
"121","Elymus virginicus"
"122","Enemion biternatum"
"123","Epilobium coloratum"
"124","Equisetum arvense"
"125","Erigeron annuus"
"126","Erigeron philadelphicus"
"127","Erigeron sp."
"128","Erythronium albidum"
"129","Euonymus alatus"
"130","Euonymus europaeus"
"131","Euonymus sp."
"132","Eupatorium purpureum"
"133","Eupatorium rugosum"
"134","Eupatorium sp."
"135","Festuca elatior"
"136","Floerkea proserpinacoides"
"137","Fragaria virginiana"
"138","Fraxinus"
"139","Fraxinus americana"
"140","Fraxinus pennsylvanica"
"141","Fraxinus quadrangulata"
"142","Fraxinus sp."
"143","Galium aparine"
"144","Galium circaezans"
"145","Galium sp."
"146","Galium triflorum"
"147","Geranium maculatum"
"148","Germaniun maculatum"
"149","Geum canadense"
"150","Geum sp."
"151","Glechoma hederacea"
"152","Gleditsia triacanthos"
"153","Glyceria striata"
"154","Gymnocladus dioica"
"155","Gymnocladus dioicus"
"156","Hackelia virginiana"
"157","Hairy weed"
"158","Helenium autumnale"
"159","Helianthus grosseserratus"
"160","Helianthus sp."
"161","Hepatica acutiloba"
"162","Hesperis matronalis"
"163","Hydrophyllum appendiculatum"
"164","Hydrophyllum sp."
"165","Hydrophyllum virginianum"
"166","Hystrix patula"
"167","Impatiens capensis"
"168","Impatiens sp."
"169","Impatients sp."
"170","Juglans nigra"
"171","Juncus sp."
"172","Juniperus virginiana"
"173","Lactuca canadensis"
"174","Lactuca sp."
"175","Laportea canadensis"
"176","Ligusticum sp."
"177","Liriodendron tulipifera"
"178","lonicera maackii"
"179","Lonicera maackii"
"180","Lonicera prolifera"
"181","Lonicera sp."
"182","Lonicera tatarica"
"183","Lysimachia ciliata"
"184","Lythrum alatum"
"185","Maianthemum racemosum"
"186","MAIRAC"
"187","Malus sieboldii"
"188","Malus sp."
"189","Menispermum canadense"
"190","Menispermum sp."
"191","Mertensia virginica"
"192","Monarda fistulosa"
"193","Morus alba"
"194","Morus sp."
"195","No data"
"196","No trees"
"197","No Trees"
"198","Onoclea sensibilis"
"199","Osm. Sp."
"200","Osmorhiza claytoniana"
"201","Osmorhiza claytonii"
"202","Osmorhiza sp."
"203","Ostrya virginiana"
"204","Oxalis sp."
"205","Oxalis stricta"
"206","Parthenocissus quinquefolia"
"207","Parthenocissus sp."
"208","Pastinaca sativa"
"209","Persicaria coccinea"
"210","Phalaris arundinacea"
"211","Phellodendron amurense"
"212","Phlox divaricata"
"213","PHRCAN"
"214","Phryma leptostachya"
"215","Phytolacca americana"
"216","Picea abies"
"217","Pilea pumila"
"218","Pinus resinosa"
"219","Pinus sp."
"220","Plantago lanceolata"
"221","Poa compressa"
"222","Poa pratensis"
"223","Poa sp."
"224","Podophyllum peltatum"
"225","POLBIF"
"226","Polemonium reptans"
"227","Polgonatum biflorum"
"228","Polygonatum biflorum"
"229","Polygonum biflorum"
"230","Polygonum scandens"
"231","Polygonum sp."
